condition,dataLogProb
True model,-189.12847062836937
True model,-171.39589083912415
True model,-167.3310261339297
True model,-174.29913114744068
True model,-176.07705308960013
True model,-181.004298645878
True model,-176.07219159788758
True model,-170.61422519899415
True model,-152.99082459039855
True model,-159.61941920810102
Sample discretes,-236.6098672378578
Sample discretes,-218.19892831519937
Sample discretes,-224.15326414217728
Sample discretes,-222.5888021275866
Sample discretes,-235.47270354217255
Sample discretes,-232.18680139388093
Sample discretes,-234.56740400729782
Sample discretes,-238.32303288210315
Sample discretes,-215.32524220802463
Sample discretes,-229.93683619000151
Sum out discretes,-197.83320182217273
Sum out discretes,-171.29684945600678
Sum out discretes,-188.55936533839645
Sum out discretes,-238.58092755804458
Sum out discretes,-180.79506313264147
Sum out discretes,-172.03979098524132
Sum out discretes,-165.26802324329057
Sum out discretes,-232.46218988110803
Sum out discretes,-177.17282567339063
Sum out discretes,-179.17825448982202
